Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
2320411000,Single Family,2016-12-12,705.58,2017-07-26,25500
2320425000,Single Family,2017-06-07,397.44,2017-11-29,18700
2320463000,Single Family,2015-09-14,656.04,2017-01-12,1
2430614000,Duplex,2016-12-12,426.27,2017-11-08,1
2431002000,Duplex,2016-10-31,4227.23,2017-08-24,20000
2440007000,Duplex,2016-09-08,184.88,2017-04-20,10000
2440068000,Duplex,2015-11-16,3801.88,2017-01-31,18000
2440655000,Single Family,2016-01-04,4575.96,2017-02-09,21100
2440679000,Single Family,2016-06-13,5151.8,2017-05-31,22500
2440937000,Single Family,2016-10-31,4296.68,2017-11-21,13002
2441137000,Single Family,2016-07-11,2704.62,2017-05-16,15000
2441190000,Single Family,2016-10-31,2004.24,2017-11-07,1
2450414000,Duplex,2016-07-11,2409.25,2017-08-02,9750
2450580100,Office Building,2013-10-14,443.69,2017-07-10,1
2450813000,Single Family,2014-11-11,8174.37,2017-09-05,1
2451720000,Multi-Family,2015-07-13,223.85,2017-09-27,7500
2452214000,Single Family,2016-09-08,785.25,2017-04-20,23000
2460166000,Single Family,2016-07-11,122.69,2017-03-02,1
2460202000,Duplex,2017-07-25,2570.95,2017-11-09,12000
2460237000,Duplex,2016-12-12,1452.45,2017-09-28,5360
2470508000,Single Family,2016-09-08,573.35,2017-02-21,7500
2470574000,Duplex,2015-01-05,1196.36,2017-03-07,22000
2470602000,Duplex,2016-12-12,2582.02,2017-07-12,10000
2470607000,Single Family,2015-06-08,3010.86,2017-01-13,30556
2479891000,Single Family,2016-12-12,4572.45,2017-07-05,15300
2479941100,Single Family,2017-06-07,2585.84,2017-12-27,4500
2479959000,Single Family,2016-01-04,2214.17,2017-03-28,6825
2480072100,Single Family,2015-11-16,1269.62,2017-07-31,39000
2480446000,Duplex,2016-10-31,5692.18,2017-08-03,12250
2480555000,Duplex,2016-01-04,3848.12,2017-05-24,32500
2510515000,Single Family,2015-09-14,2574.18,2017-11-01,1
2630409000,Single Family,2016-10-31,2051.02,2017-07-05,38000
2630916000,Single Family,2016-09-08,777,2017-05-18,57000
2650242000,Single Family,2016-01-04,7820.3,2017-08-04,1
2670442000,Duplex,2014-06-02,8238.56,2017-03-07,26500
2670756000,Single Family,2016-07-11,1136.76,2017-05-16,1
2670814000,Single Family,2014-11-11,10041.26,2017-01-12,1
2681012000,Single Family,2013-10-14,4719.22,2017-07-06,1
2690010000,Duplex,2016-09-08,1575.71,2017-04-24,10000
2690229000,Single Family,2013-12-02,3075.93,2017-08-03,7875
2700244000,Single Family,2016-12-12,3055.36,2017-10-23,3300
2700308000,Com/Res,2015-06-08,12780.43,2017-03-31,30000
2700309000,Multi-Family,2014-09-15,40047.57,2017-03-31,10000
2700608000,Single Family,2016-07-11,2326.65,2017-02-23,2813
2700705000,Duplex,2017-06-07,1392.31,2017-12-06,5200
2700843000,Single Family,2016-06-13,2617.59,2017-06-12,1
2701179000,Single Family,2012-07-09,3266.44,2017-10-03,1
2701614000,Single Family,2015-11-16,441.41,2017-10-03,1
2701901000,Single Family,2014-06-02,2462.44,2017-06-12,1
2710524000,Single Family,2016-07-11,2622.33,2017-06-12,1
2710722000,Duplex,2016-01-04,889.81,2017-11-30,2500
2710745000,Duplex,2016-06-13,728.31,2017-11-16,4500
2710878000,Single Family,2016-09-08,1015.13,2017-08-21,8800
2711039000,Duplex,2015-09-14,2039.28,2017-05-30,2500
2712215000,Duplex,2015-09-14,62.72,2017-10-04,4400
2712560000,Single Family,2016-07-11,763.44,2017-02-21,3395
2712707000,Single Family,2016-10-31,217.58,2017-11-02,2500
2720213000,Single Family,2017-06-07,2653.32,2017-12-07,7500
2720216000,Single Family,2016-09-08,597.29,2017-04-20,2625
2720507000,Duplex,2016-07-11,510.89,2017-12-21,2500
2721002000,Single Family,2016-10-31,2180.38,2017-05-11,5000
2722748000,Single Family,2016-10-31,134.04,2017-05-31,4800
2722749000,Single Family,2017-06-07,231.31,2017-12-07,3600
2722788000,Multi-Family,2015-09-14,702.16,2017-02-22,3000
2722789000,Single Family,2016-12-12,1651.58,2017-08-30,5850
2730626000,Duplex,2016-12-12,923.01,2017-07-24,13700
2731318000,Duplex,2017-06-07,42.84,2017-11-15,10000
2731331000,Duplex,2016-09-08,5172.38,2017-05-10,4800
2731541000,Single Family,2015-11-16,1834.06,2017-10-10,2600
2731620000,Single Family,2016-01-04,248.33,2017-05-11,2500
2731729000,Multi-Family,2014-07-14,1278.47,2017-04-27,4500
2739971000,Single Family,2014-11-11,760.16,2017-02-15,4000
2811402000,Duplex,2016-10-31,1714.41,2017-10-03,2500
2811416000,Single Family,2016-07-11,130.86,2017-01-12,5000
2811840000,Duplex,2017-07-25,210.6,2017-12-14,26000
2820105000,Duplex,2016-09-08,5560.14,2017-12-06,3750
2820212000,Duplex,2016-09-08,7825.45,2017-05-01,6000
2820436000,Duplex,2016-10-31,469.74,2017-12-26,5325
2820719000,Duplex,2016-01-04,1165.59,2017-01-12,5000
2821682000,Duplex,2015-11-16,500.61,2017-02-23,2500
2821700000,Duplex,2017-06-07,920.04,2017-11-16,5100
2822123000,Duplex,2016-10-31,2061.08,2017-09-06,20000
2822712100,Duplex,2015-11-16,3502.23,2017-03-07,4000
2830113000,Single Family,2016-01-04,2044.68,2017-08-07,3750
2830172000,Duplex,2016-06-13,1196.28,2017-02-15,5700
2830207000,Single Family,2015-01-05,545,2017-03-29,3500
2830298000,Single Family,2016-10-31,2477.09,2017-12-05,1000
2830333000,Single Family,2016-06-13,54.93,2017-04-26,1
2830429000,Duplex,2016-09-08,773.44,2017-04-19,2500
2840322000,Single Family,2015-09-14,1151.3,2017-03-02,1
2840721000,Single Family,2013-10-14,474.68,2017-02-02,7425
2841011000,Duplex,2016-07-11,792.74,2017-08-10,2500
2841705000,Single Family,2010-07-26,7243.27,2017-05-02,1
2841901000,Duplex,2016-10-31,370.64,2017-05-01,9000
2850024000,Single Family,2016-01-04,1528.42,2017-06-23,1
2850307000,Duplex,2016-09-08,2024.09,2017-06-27,5250
2850422000,Duplex,2016-09-08,2083.17,2017-06-23,1
2850464000,Duplex,2015-06-08,4522,2017-06-23,1
2850754000,Duplex,2016-10-31,2474.49,2017-07-12,8000
2850841110,Single Family,2016-06-13,1312.27,2017-02-08,3500
2850905000,Duplex,2016-10-31,981.74,2017-05-24,7000
2851123000,Single Family,2017-06-07,3562.94,2017-11-30,6375
2851139000,Duplex,2016-09-08,2979.18,2017-05-30,2625
2851664000,Duplex,2015-01-05,11732.17,2017-09-19,12700
2852133000,Single Family,2017-06-07,365.96,2017-12-12,14500
2860014000,Duplex,2017-06-07,3305.33,2017-12-01,15000
2860263000,Single Family,2015-11-16,1068.92,2017-10-03,1
2860754000,Duplex,2015-01-05,562.75,2017-10-31,3400
2860943000,Single Family,2016-06-13,1051.79,2017-10-03,1
2861012000,Duplex,2012-12-17,17367.39,2017-12-28,4650
2861048000,Single Family,2016-07-11,50.2,2017-10-03,1
2861113000,Single Family,2016-01-04,529.3,2017-10-03,1
2870056000,Single Family,2016-09-08,800.47,2017-05-16,1
2870137000,Single Family,2016-07-11,114.63,2017-12-14,2500
2870148000,Duplex,2016-06-13,436.71,2017-01-18,2001
2870770000,Duplex,2016-12-12,1792.48,2017-06-14,7000
2871024000,Single Family,2016-10-31,2221.08,2017-07-06,21150
2880391000,Single Family,2016-10-31,1182.14,2017-09-12,24000
2880675000,Single Family,2016-07-11,4649.38,2017-05-22,32000
2880768000,Duplex,2016-06-13,2265.81,2017-05-16,1
3051115000,Duplex,2016-10-31,2460.62,2017-06-29,16705
3051118000,Duplex,2016-09-08,2585.67,2017-05-30,32625
3060120000,Single Family,2016-07-11,310.83,2017-04-04,13200
3060617000,Duplex,2016-09-08,11629.75,2017-05-16,1
