"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price"
2270725000,"Single Family","2015-06-08",457.72,"2015-10-05",1000
2271005000,"Duplex","2014-11-11",3378.03,"2015-11-09",4100
2280107000,"Single Family","2015-06-08",726.24,"2015-12-09",2500
2280313000,"Single Family","2015-01-05",886.68,"2015-07-28",3500
2280507000,"Single Family","2011-02-14",4534.62,"2015-01-09",5000
2280912000,"Single Family","2015-01-05",1734.92,"2015-06-17",6150
2281013000,"Single Family","2014-06-02",657.18,"2015-01-26",1000
2289929000,"Single Family","2015-06-08",818.4,"2015-11-23",1000
2289977100,"Duplex","2014-06-02",1600.45,"2015-03-17",4500
2290207000,"Single Family","2014-07-14",1469.84,"2015-11-09",5000
2290509000,"Single Family","2015-01-05",1286.24,"2015-10-21",5000
2290514000,"Duplex","2010-07-26",9387.55,"2015-10-19",1000
2290623100,"Duplex","2014-09-15",762.2,"2015-03-19",4792
2290626100,"Duplex","2013-08-16",1208.73,"2015-04-29",1
2290697000,"Single Family","2014-11-11",48.94,"2015-05-29",1000
2290787000,"Single Family","2015-09-14",44.5,"2015-12-08",1000
2290879000,"Single Family","2013-12-02",6966.8,"2015-03-30",9000
2290979000,"Duplex","2014-11-11",478.24,"2015-09-30",1000
2291127000,"Duplex","2014-06-02",1205.18,"2015-02-24",5000
2291146000,"Duplex","2014-07-14",1820.34,"2015-07-10",1
2300235000,"Duplex","2015-06-08",644.45,"2015-11-13",3790
2300403100,"Duplex","2014-11-11",322.32,"2015-11-09",3500
2300422000,"Single Family","2014-11-11",1147.05,"2015-07-10",1
2300423000,"Single Family","2013-12-02",1000522.84,"2015-01-13",2500
2300497000,"Single Family","2013-10-14",1413.22,"2015-01-13",3375
2300522000,"Single Family","2015-01-05",450.36,"2015-06-03",6000
2310045000,"Single Family","2014-07-14",653.72,"2015-05-14",1
2310207000,"Single Family","2015-01-05",530.63,"2015-09-30",16000
2310308000,"Single Family","2014-06-02",637.41,"2015-10-22",1
2310329000,"Single Family","2013-12-02",1514.52,"2015-06-30",27000
2310523000,"Single Family","2014-11-11",1185.04,"2015-10-15",5000
2320618000,"Single Family","2015-01-05",208.57,"2015-09-10",7500
2320668000,"Single Family","2013-10-14",1280.41,"2015-04-23",5000
2430209000,"Duplex","2014-06-02",3556.53,"2015-01-26",1000
2430736000,"Duplex","2014-07-14",269.08,"2015-04-08",9675
2440453000,"Single Family","2015-01-05",338.01,"2015-06-09",5500
2440462000,"Single Family","2014-06-02",281.63,"2015-02-18",6750
2440483000,"Single Family","2014-06-02",1151.25,"2015-01-09",8000
2440643000,"Single Family","2013-10-14",2780.99,"2015-07-29",30750
