Property Type,Acquired,Count,Total Mgt. Expenses,Closed,Sale Price
Duplex,6/2/2014,1,868.33,2/4/2015,5000
Single Family,12/2/2013,1,469.29,2/4/2015,14000
Duplex,10/14/2013,1,2586.61,2/6/2015,1000
Duplex,6/2/2014,1,2888.45,2/6/2015,3800
Single Family,12/2/2013,1,2774.64,2/6/2015,6000
Condominium,10/14/2013,1,2778.22,2/6/2015,9270.64
Duplex,6/2/2014,1,3992.71,2/13/2015,18500
Duplex,12/17/2012,1,1327.68,2/16/2015,3750
Single Family,12/2/2013,1,644.17,2/16/2015,4000
Single Family,6/2/2014,1,63.88,2/17/2015,1000
Single Family,12/17/2012,1,2178.53,2/17/2015,1000
Single Family,8/16/2013,1,1392.2,2/17/2015,3675
Single Family,7/14/2014,1,228.16,2/17/2015,21375
Duplex,12/2/2013,1,998.08,2/18/2015,3000
Single Family,6/2/2014,1,281.63,2/18/2015,6750
Duplex,6/2/2014,1,416.77,2/18/2015,9000
Duplex,6/2/2014,1,444.34,2/19/2015,8000
Duplex,10/14/2013,1,912.52,2/19/2015,3400
Single Family,12/2/2013,1,2830.76,2/19/2015,3700
Single Family,7/14/2014,1,294,2/20/2015,10000
Single Family,10/14/2013,1,866.03,2/23/2015,4700
Duplex,10/14/2013,1,1088.01,2/24/2015,8000
Duplex,6/2/2014,1,1205.18,2/24/2015,5000
Single Family,6/2/2014,1,372.69,2/25/2015,18929.1
Duplex,7/14/2014,1,1418.01,2/25/2015,2500
Single Family,9/15/2014,1,1126.78,2/25/2015,4000
Duplex,7/14/2014,1,1064.72,2/27/2015,30000
Rooming House,12/2/2013,1,2441.12,2/27/2015,6150
Single Family,8/16/2013,1,3703.81,2/27/2015,1
Duplex,12/17/2012,1,4494,3/2/2015,5124.78
Duplex,7/14/2014,1,1760.18,3/3/2015,2625
Duplex,7/14/2014,1,8506.206,3/5/2015,3675
Duplex,7/14/2014,1,739.34,3/5/2015,11250
Duplex,10/14/2013,1,224.5,3/6/2015,1000
Multi-Family,7/14/2014,1,1418.77,3/6/2015,13700
Duplex & Single Family,6/2/2014,1,3996.6,3/6/2015,5000
Duplex,12/2/2013,1,2601.4,3/6/2015,7105.08
Single Family,12/2/2013,1,1380.27,3/6/2015,4000
Single Family,6/2/2014,1,2157.94,3/6/2015,5900
Single Family,12/2/2013,1,3013.17,3/6/2015,3000
Single Family,7/14/2014,1,2304.13,3/9/2015,8250
Single Family,10/14/2013,1,4532.6,3/9/2015,3000
Single Family,7/9/2012,1,1052.17,3/10/2015,1000
Duplex,6/2/2014,1,199.66,3/11/2015,2
Duplex,1/30/2012,1,5266.44,3/12/2015,2500
Condominium,7/14/2014,1,2038,3/12/2015,8141.94
Duplex,10/14/2013,1,5161.23,3/13/2015,1000
Duplex,6/2/2014,1,2010.49,3/13/2015,5000
Single Family,7/26/2010,1,324.99,3/13/2015,3000
Single Family,7/14/2014,1,811.94,3/13/2015,7500
Retail Building,3/28/1946,1,185.44,3/16/2015,50000
Duplex,12/2/2013,1,4603.28,3/16/2015,3006.99
Condominium,12/2/2013,1,7771.12,3/16/2015,7591.21
Duplex,6/2/2014,1,1600.45,3/17/2015,4500
Single Family,7/14/2014,1,2483.84,3/18/2015,7000
Single Family,12/2/2013,1,1313.41,3/18/2015,3000
Duplex,9/15/2014,1,816.97,3/19/2015,5100
Duplex,9/15/2014,1,762.2,3/19/2015,4792
Duplex,7/14/2014,1,1261.34,3/20/2015,5625
Single Family,6/2/2014,1,547.19,3/20/2015,7600
Duplex,10/14/2013,1,2322.21,3/24/2015,5600
Commercial Mixed-Use,1/5/2015,1,43579.96,3/26/2015,1300000
Duplex,12/2/2013,1,3874.54,3/27/2015,25200
Duplex,6/2/2014,1,755.95,3/27/2015,5000
Duplex,7/26/2010,1,1482.85,3/27/2015,3000
Single Family,6/2/2014,1,241.54,3/27/2015,4500
Single Family,6/2/2014,1,1544.99,3/27/2015,32000
Duplex,6/2/2014,1,582.25,3/30/2015,2800
Duplex,10/8/2012,1,1329.3,3/30/2015,1000
Duplex,9/15/2014,1,482.12,3/30/2015,1000
Single Family,1/5/2015,1,46.5,3/30/2015,1000
Duplex,8/16/2013,1,266.87,3/30/2015,1000
Duplex,8/16/2013,1,6508.31,3/30/2015,1000
Single Family,12/2/2013,1,4997.89,3/30/2015,5175
Single Family,10/8/2012,1,1137.48,3/30/2015,3750
Single Family,12/2/2013,1,6966.8,3/30/2015,9000
Single Family,6/2/2014,1,1003493.9,3/30/2015,10500
Duplex,6/2/2014,1,3512.91,3/31/2015,10000
Single Family,9/15/2014,1,2676.76,4/1/2015,6075
Single Family,9/15/2014,1,837.44,4/1/2015,5200
Rooming House,7/28/2008,1,6639.42,4/2/2015,9500
Single Family,9/15/2014,1,444.19,4/2/2015,3000
Single Family,10/14/2013,1,2432.3,4/3/2015,30375
Multi-Family,7/14/2014,1,1301.59,4/6/2015,8175
Duplex,8/16/2013,1,6300.82,4/6/2015,1
Single Family,10/14/2013,1,1180.99,4/8/2015,2700
Single Family,7/14/2014,1,788.96,4/8/2015,3000
Single Family,7/14/2014,1,339,4/8/2015,28500
Duplex,7/14/2014,1,269.08,4/8/2015,9675
Duplex,7/14/2014,1,1066.3,4/10/2015,3750
Single Family,9/15/2014,1,755.79,4/10/2015,2250
Condominium,7/14/2014,1,1917.8,4/14/2015,5053.33
Single Family,11/11/2014,1,172.15,4/17/2015,1000
Duplex,9/15/2014,1,142.49,4/17/2015,2900
Duplex,7/14/2014,1,243.92,4/17/2015,3750
Single Family,9/15/2014,1,4713.1,4/20/2015,3600
Single Family,8/16/2013,1,1267.48,4/21/2015,1
Single Family,7/14/2014,1,770.2,4/22/2015,3200
Duplex,7/14/2014,1,1337.33,4/22/2015,4050
Single Family,9/15/2014,1,1001.9,4/22/2015,3000
Single Family,2/14/2011,1,1236.63,4/23/2015,19000
Single Family,12/2/2013,1,813.21,4/23/2015,5000
Duplex,6/2/2014,1,1799.68,4/23/2015,5000
Single Family,10/14/2013,1,1280.41,4/23/2015,5000
Duplex,7/14/2014,1,339.68,4/23/2015,3400
Single Family,7/14/2014,1,1170.04,4/23/2015,5000
Duplex,11/11/2014,1,445.63,4/24/2015,30000
Single Family,9/15/2014,1,460.44,4/24/2015,5000
Duplex,11/11/2014,1,3650.93,4/24/2015,12760
Single Family,9/15/2014,1,157.37,4/24/2015,10000
Duplex,1/5/2015,1,498.77,4/24/2015,1000
Single Family,9/15/2014,1,711.26,4/24/2015,12100
Duplex,8/16/2013,1,993.68,4/24/2015,3000
Single Family,12/2/2013,1,680.78,4/24/2015,1
Condominium,7/14/2014,1,2874.58,4/24/2015,9027.17
Duplex,10/8/2012,1,4281.18,4/27/2015,4900
Duplex,11/11/2014,1,363.77,4/28/2015,3600
Duplex,11/11/2014,1,174.19,4/28/2015,5425
Single Family,11/11/2014,1,2522.57,4/29/2015,4800
Duplex,9/15/2014,1,5812.09,4/29/2015,2950
Duplex,8/16/2013,1,1208.73,4/29/2015,1
Duplex,11/11/2014,1,6698.83,4/30/2015,3750
Duplex,11/11/2014,1,4103.44,4/30/2015,7500
Duplex,12/2/2013,1,1313.73,5/1/2015,5200
Duplex,11/11/2014,1,3068.14,5/1/2015,4100
Single Family,11/11/2014,1,231.98,5/4/2015,1000
Single Family,1/5/2015,1,82.96,5/4/2015,1000
Duplex,11/11/2014,1,5417.34,5/5/2015,4500
Single Family,6/2/2014,1,937.66,5/7/2015,23250
Duplex,9/15/2014,1,205736.88,5/8/2015,3800
Single Family,11/11/2014,1,1186.34,5/8/2015,13200
Single Family,11/11/2014,1,1104.88,5/8/2015,8700
Single Family,7/14/2014,1,803.94,5/8/2015,15000
Single Family,12/2/2013,1,7425.04,5/8/2015,1
Duplex,1/5/2015,1,27.35,5/14/2015,1000
Duplex,10/14/2013,1,2157.81,5/14/2015,12750
Duplex,6/2/2014,1,2491.6,5/14/2015,4200
Single Family,7/14/2014,1,653.72,5/14/2015,1
Single Family,11/11/2014,1,307.07,5/14/2015,1
Single Family,11/11/2014,1,685.07,5/14/2015,37500
Single Family,6/2/2014,1,2011.53,5/14/2015,1
Single Family,7/9/2012,1,7875.48,5/14/2015,1
Duplex,11/11/2014,1,51.48,5/15/2015,1000
Single Family,9/15/2014,1,355.94,5/15/2015,2625
Duplex,9/15/2014,1,910.82,5/15/2015,4000
Duplex,11/11/2014,1,906.12,5/15/2015,4000
Condominium,6/2/2014,1,2576.8,5/18/2015,13656.29
Single Family,1/5/2015,1,933.11,5/19/2015,1000
Duplex,7/14/2014,1,865.85,5/19/2015,5500
Duplex,6/2/2014,1,1054.51,5/19/2015,5025
Single Family,9/15/2014,1,4644.32,5/19/2015,4650
Single Family,11/11/2014,1,1089.57,5/19/2015,3000
Single Family,7/14/2014,1,302.05,5/21/2015,1
Single Family,12/17/2012,1,4855.73,5/22/2015,1000
Duplex,7/28/2008,1,7954.48,5/26/2015,1000
Single Family,9/15/2014,1,6321.93,5/27/2015,3500
Duplex,7/9/2012,1,11928.4,5/27/2015,3000
Single Family,7/14/2014,1,496.64,5/29/2015,57015
Duplex,11/11/2014,1,501.27,5/29/2015,1000
Single Family,7/14/2014,1,1393.33,5/29/2015,35000
Single Family,11/11/2014,1,89.2,5/29/2015,1000
Duplex,7/26/2010,1,5883.57,5/29/2015,1
Single Family,9/15/2014,1,536.21,5/29/2015,5000
Duplex,7/14/2014,1,1084.52,5/29/2015,3550
Single Family,11/11/2014,1,48.94,5/29/2015,1000
Single Family,9/15/2014,1,1661.8,6/2/2015,1000
Single Family,7/14/2014,1,1017.39,6/2/2015,1
Single Family,7/14/2014,1,234.27,6/2/2015,6400
Single Family,11/11/2014,1,100.47,6/2/2015,1
Single Family,7/9/2012,1,5042.34,6/3/2015,5500
Single Family,1/5/2015,1,450.36,6/3/2015,6000
Single Family,10/14/2013,1,3057.36,6/3/2015,9400
Single Family,1/5/2015,1,550.75,6/3/2015,7500
Single Family,9/15/2014,1,1771.37,6/3/2015,6750
Duplex,1/5/2015,1,152.78,6/5/2015,1000
Tavern/Apts,6/29/2011,1,4295.49,6/5/2015,5000
Single Family,1/5/2015,1,183.39,6/5/2015,7800
Single Family,10/14/2013,1,7588.102,6/5/2015,14000
Single Family,6/2/2014,1,696.51,6/5/2015,1
Duplex,8/16/2013,1,2453.8,6/8/2015,12900
Duplex,6/2/2014,1,1470.47,6/8/2015,2500
Duplex,1/5/2015,1,373.03,6/9/2015,3900
Single Family,1/5/2015,1,338.01,6/9/2015,5500
Single Family,6/11/2010,1,1255.79,6/10/2015,22000
Single Family,11/11/2014,1,2171.17,6/10/2015,6825
Duplex,9/15/2014,1,1540.69,6/12/2015,2500
Single Family,7/14/2014,1,603.4,6/12/2015,1200
Single Family,8/16/2013,1,5338.99,6/12/2015,7500
Single Family,6/2/2014,1,7646.37,6/12/2015,5025
Single Family,1/5/2015,1,91.71,6/15/2015,48600
Duplex,9/15/2014,1,5235.5,6/15/2015,3800
Single Family,8/16/2013,1,2561.37,6/15/2015,2500
Single Family,10/14/2013,1,5936.46,6/15/2015,1
Duplex,7/14/2014,1,434.24,6/17/2015,10000
Duplex,1/5/2015,1,550.38,6/17/2015,6000
Duplex,10/14/2013,1,1243.21,6/17/2015,8600
Single Family,1/5/2015,1,1734.92,6/17/2015,6150
Single Family,10/14/2013,1,3100.09,6/17/2015,3000
Single Family,11/11/2014,1,2429.09,6/17/2015,1
Single Family,1/5/2015,1,60.05,6/18/2015,15000
Single Family,11/11/2014,1,2373.53,6/18/2015,11000
Single Family,11/11/2014,1,118.33,6/19/2015,1000
Multi-Family,11/11/2014,1,100.5,6/22/2015,1000
Condominium,7/14/2014,1,3529.95,6/22/2015,7056.55
Single Family,1/5/2015,1,2057.82,6/24/2015,22000
Single Family,12/17/2012,1,2210.36,6/24/2015,2500
Single Family,6/2/2014,1,687.25,6/26/2015,15000
Day Care Center,7/20/2009,1,9612.64,6/26/2015,20000
Warehouse,10/14/2013,1,324.14,6/26/2015,20000
Single Family,10/14/2013,1,3019.53,6/29/2015,34500
Single Family,6/2/2014,1,6362.72,6/29/2015,8000
Duplex,7/14/2014,1,597.69,6/29/2015,2625
Store - Apts,10/14/2013,1,170.39,6/29/2015,11500
Duplex,1/5/2015,1,119.64,6/29/2015,16100
Duplex,1/5/2015,1,260.59,6/30/2015,14815.29
Duplex,12/2/2013,1,2057.44,6/30/2015,3600
Single Family,12/2/2013,1,1514.52,6/30/2015,27000
Duplex,12/2/2013,1,6283.57,7/1/2015,1000
Single Family,6/2/2014,1,580.62,7/2/2015,3008
Condominium,7/26/2010,1,15590.64,7/2/2015,4698.68
Single Family,9/15/2014,1,1480.29,7/6/2015,5000
Single Family,10/14/2013,1,588.33,7/6/2015,5000
Single Family,1/5/2015,1,574.73,7/6/2015,5000
Single Family,1/5/2015,1,227.36,7/6/2015,5000
Single Family,1/5/2015,1,61.59,7/7/2015,5000
Church & Single Family,7/20/2009,1,5754.43,7/8/2015,30000
Commercial Mixed-Use,8/16/2013,1,1223.52,7/8/2015,50000
Single Family,11/11/2014,1,6080.88,7/8/2015,5300
Duplex,6/2/2014,1,3942.66,7/9/2015,21000
Duplex,7/14/2014,1,2135.174,7/9/2015,14400
Single Family,11/11/2014,1,81.61,7/10/2015,1000
Single Family,7/14/2014,1,349.58,7/10/2015,1
Single Family,11/11/2014,1,1147.05,7/10/2015,1
Duplex,7/14/2014,1,1820.34,7/10/2015,1
Single Family,7/14/2014,1,1056.11,7/13/2015,1
Duplex,9/15/2014,1,389.43,7/15/2015,2500
Duplex,7/14/2014,1,879.56,7/16/2015,5300
Single Family,1/5/2015,1,1730.02,7/16/2015,3000
Single Family,7/14/2014,1,964.41,7/20/2015,4000
Single Family,7/26/2010,1,4796.4211,7/22/2015,2500
Duplex,9/15/2014,1,1060.02,7/22/2015,4600
Duplex,11/11/2014,1,4029.92,7/22/2015,1000
Single Family,1/5/2015,1,92.33,7/22/2015,14300
Duplex,7/14/2014,1,973.3,7/23/2015,5700
Restaurant,10/14/2013,1,2464.57,7/23/2015,35000
Single Family,1/5/2015,1,647.05,7/23/2015,5500
Duplex,7/26/2010,1,16488.89,7/23/2015,7000
Duplex,7/14/2014,1,5754.49,7/23/2015,7400
Single Family,1/5/2015,1,632.79,7/23/2015,6000
Single Family,11/11/2014,1,40.49,7/23/2015,1000
Single Family,9/15/2014,1,106.73,7/23/2015,3975
Duplex,1/5/2015,1,37.2,7/27/2015,1000
Duplex,1/5/2015,1,686.35,7/27/2015,3360
Single Family,11/11/2014,1,1975.18,7/27/2015,6450
Duplex & Single Family,6/2/2014,1,3171.88,7/28/2015,46000
Single Family,10/8/2012,1,4846.89,7/28/2015,10500
Single Family,1/5/2015,1,886.68,7/28/2015,3500
Duplex,12/17/2012,1,8018.63,7/29/2015,1
Single Family,10/14/2013,1,2780.99,7/29/2015,30750
Single Family,1/5/2015,1,245.66,7/30/2015,1000
Com/Res,11/11/2014,1,931.55,7/30/2015,1000
Duplex,1/5/2015,1,1236.15,7/30/2015,3750
Duplex,1/5/2015,1,1060.69,7/30/2015,3000
Single Family,9/15/2014,1,1553.52,7/30/2015,1
Single Family,12/2/2013,1,560.87,7/30/2015,4125
Single Family,11/11/2014,1,2348.05,8/5/2015,14250
Single Family,1/5/2015,1,332,8/5/2015,7000
Duplex,9/15/2014,1,1184.89,8/5/2015,3750
Duplex,1/5/2015,1,2459.46,8/5/2015,2500
Duplex,1/5/2015,1,1711.18,8/6/2015,1000
Com/Res,7/28/2008,1,1361.42,8/6/2015,10000
Duplex,9/15/2014,1,1977.75,8/10/2015,3550
Single Family,7/9/2012,1,7814.64,8/10/2015,2850
Single Family,10/8/2012,1,4214.82,8/10/2015,6750
Duplex,11/11/2014,1,2444.9,8/10/2015,13500
Condominium,7/14/2014,1,3014.04,8/10/2015,1134.84
Single Family,1/5/2015,1,1024.57,8/12/2015,1
Single Family,12/2/2013,1,2185.92,8/12/2015,1
Single Family,12/2/2013,1,889.86,8/12/2015,6750
Medical Office,3/1/2010,1,209.25,8/13/2015,7500
Duplex,7/14/2014,1,542.53,8/13/2015,2500
Restaurant,7/9/2012,1,2514.08,8/13/2015,12000
Single Family,9/15/2014,1,59.29,8/13/2015,2500
Single Family,8/16/2013,1,2966.2,8/19/2015,2500
Single Family,1/5/2015,1,486.31,8/19/2015,2500
Single Family,1/5/2015,1,68.66,8/19/2015,2500
Single Family,10/14/2013,1,5023.09,8/19/2015,7500
Single Family,7/26/2010,1,8787.95,8/19/2015,9300
Single Family,8/16/2013,1,2592.05,8/20/2015,12000
Duplex & Single Family,12/17/2012,1,2509.34,8/20/2015,4000
Single Family,10/14/2013,1,1502.5,8/20/2015,2500
Duplex,7/9/2012,1,6911.76,8/20/2015,2800
Single Family,9/15/2014,1,358.54,8/24/2015,2625
Multi-Family,6/29/2011,1,1670.65,8/24/2015,2500
Duplex,6/2/2014,1,2923.77,8/26/2015,3450
Single Family - 2,10/8/2012,1,3486.84,8/26/2015,2500
Single Family,12/17/2012,1,1837.74,8/26/2015,4000
Single Family,9/15/2014,1,1048.75,8/26/2015,3360
Multi-Family,1/5/2015,1,282.33,8/27/2015,7500
Duplex,1/5/2015,1,1640.86,8/27/2015,5250
Duplex,6/2/2014,1,2980.72,8/27/2015,10125
Duplex,1/5/2015,1,2548.94,8/27/2015,2500
Duplex,7/14/2014,1,2230.72,8/27/2015,25000
Single Family,1/5/2015,1,923.6,8/31/2015,8450
Duplex,6/2/2014,1,2123.25,9/1/2015,25300
Duplex,6/2/2014,1,5644.48,9/2/2015,1
Duplex,6/2/2014,1,1069.72,9/2/2015,6075
Single Family,6/8/2015,1,136.47,9/2/2015,1000
Single Family,10/14/2013,1,531.794,9/3/2015,6500
Single Family,10/14/2013,1,513.8,9/3/2015,8925
Single Family,10/14/2013,1,364.43,9/4/2015,2590
Duplex,11/11/2014,1,644.66,9/10/2015,2500
Duplex,12/2/2013,1,1137.45,9/10/2015,2850
Single Family,1/5/2015,1,208.57,9/10/2015,7500
Single Family,11/11/2014,1,860.35,9/11/2015,1
Single Family,6/2/2014,1,992.42,9/14/2015,1
Duplex - 2,7/14/2014,1,1009188.25,9/14/2015,1000
Single Family,1/5/2015,1,24812.66,9/14/2015,1000
Single Family,1/5/2015,1,1455.94,9/16/2015,2925
Duplex,6/2/2014,1,470.86,9/16/2015,1
Single Family,1/5/2015,1,250.18,9/16/2015,7500
Condominium,1/5/2015,1,2232.65,9/16/2015,11355
Multi-Family,8/16/2013,1,752.9,9/17/2015,2500
Single Family,10/14/2013,1,1397.61,9/18/2015,3750
Multi-Family,10/8/2012,1,2541.63,9/21/2015,2500
Single Family,8/16/2013,1,1702.34,9/22/2015,7500
Duplex,6/8/2015,1,127.92,9/23/2015,1000
Duplex,1/5/2015,1,7153.79,9/23/2015,4500
Duplex,10/14/2013,1,2063.84,9/23/2015,15055
Duplex,6/8/2015,1,738.61,9/24/2015,13100
Duplex,9/15/2014,1,2238.65,9/24/2015,1
Duplex,8/16/2013,1,9146.97,9/25/2015,5625
Duplex,6/8/2015,1,901.92,9/28/2015,15000
Duplex,11/11/2014,1,1578.66,9/28/2015,23000
Duplex,1/5/2015,1,1964.58,9/28/2015,12000
Single Family,12/2/2013,1,3130.78,9/28/2015,6300
Single Family,10/14/2013,1,308.77,9/29/2015,1875
Single Family,9/15/2014,1,586.35,9/29/2015,4000
Duplex,12/2/2013,1,3512.6,9/29/2015,15750
Single Family,1/5/2015,1,594.31,9/29/2015,22500
Single Family,1/5/2015,1,530.63,9/30/2015,16000
Duplex,11/11/2014,1,478.24,9/30/2015,1000
Single Family,6/8/2015,1,151.17,10/1/2015,23000
Duplex,1/5/2015,1,740.57,10/1/2015,1
Single Family,12/2/2013,1,251.69,10/1/2015,2500
Duplex,6/8/2015,1,995.74,10/1/2015,1000
Single Family,9/15/2014,1,459.86,10/1/2015,3750
Duplex,1/5/2015,1,428.81,10/1/2015,2800
Duplex,6/8/2015,1,493.51,10/5/2015,9300
Single Family,6/8/2015,1,457.72,10/5/2015,1000
Single Family,6/8/2015,1,57.66,10/5/2015,1000
Single Family,6/8/2015,1,1306.04,10/5/2015,1000
Single Family,7/13/2015,1,40.25,10/5/2015,1000
Child Day Care,8/16/2013,1,2272.04,10/6/2015,18000
Day Care Center,11/14/2011,1,906.57,10/6/2015,18000
Restaurant,12/2/2013,1,452.9,10/6/2015,9000
Single Family,8/16/2013,1,2504.83,10/8/2015,1
Single Family - 2,1/5/2015,1,303.97,10/8/2015,1000
Single Family,7/14/2014,1,3612.25,10/8/2015,7500
Single Family,12/2/2013,1,4090.16,10/9/2015,1
Single Family,1/5/2015,1,190.9,10/12/2015,1000
Duplex,11/11/2014,1,4510.14,10/12/2015,6001
Duplex,7/14/2014,1,1109415.06,10/13/2015,14400
Single Family,11/11/2014,1,1091.55,10/14/2015,5000
Single Family,11/11/2014,1,1814.34,10/14/2015,5000
Duplex,12/2/2013,1,3053.605,10/14/2015,2500
Duplex,7/14/2014,1,733.53,10/14/2015,3500
Single Family,9/15/2014,1,933.81,10/14/2015,5000
Single Family,1/5/2015,1,1466.78,10/14/2015,20000
Single Family,9/15/2014,1,1560.18,10/14/2015,5000
Single Family,11/11/2014,1,2047.24,10/14/2015,5000
Single Family,10/14/2013,1,1687.78,10/15/2015,3750
Single Family - 2,7/14/2014,1,99.73,10/15/2015,5000
Single Family,10/8/2012,1,827.67,10/15/2015,2500
Duplex,11/11/2014,1,3446.36,10/15/2015,5000
Single Family,1/5/2015,1,1367.83,10/15/2015,5000
Single Family,11/11/2014,1,1185.04,10/15/2015,5000
Duplex,6/8/2015,1,160.61,10/19/2015,19915.54
Single Family,1/5/2015,1,6360.12,10/19/2015,3000
Duplex,7/26/2010,1,9387.55,10/19/2015,1000
Single Family,7/13/2015,1,66.75,10/19/2015,8668.51
Condominium,6/8/2015,1,1490.55,10/19/2015,5000
Single Family,1/5/2015,1,1847.07,10/20/2015,30000
Single Family,1/5/2015,1,1160.49,10/20/2015,23200
Duplex,11/11/2014,1,599.62,10/21/2015,2500
Single Family,6/2/2014,1,869.99,10/21/2015,2500
Single Family,1/5/2015,1,87.79,10/21/2015,3350
Single Family,1/5/2015,1,1286.24,10/21/2015,5000
Duplex,7/14/2014,1,1394.43,10/22/2015,5700
Duplex,1/5/2015,1,1673.87,10/22/2015,1
Single Family,6/2/2014,1,637.41,10/22/2015,1
Single Family,10/14/2013,1,281.06,10/23/2015,15000
Single Family,9/15/2014,1,5825.06,10/28/2015,1
Duplex,10/14/2013,1,1400.28,10/28/2015,2500
Duplex,7/14/2014,1,180.72,10/28/2015,2500
Duplex,7/14/2014,1,123.19,10/29/2015,4000
Duplex,6/8/2015,1,633.84,10/29/2015,1000
Duplex & Single Family,1/5/2015,1,2165.12,10/29/2015,11250
Single Family,7/14/2014,1,9799.44,11/2/2015,1000
Single Family,1/5/2015,1,386.23,11/2/2015,19500
Duplex,6/8/2015,1,236.69,11/4/2015,31200
Com/Res,7/26/2010,1,2971.14,11/4/2015,3000
Duplex,12/2/2013,1,2275.05,11/4/2015,3375
Duplex,1/5/2015,1,861.97,11/5/2015,2500
Condominium,6/8/2015,1,1940.73,11/5/2015,20000
Duplex,8/16/2013,1,1222.94,11/9/2015,4500
Duplex,6/8/2015,1,1765.1,11/9/2015,15500
Single Family,6/2/2014,1,1320.97,11/9/2015,5000
Duplex,11/11/2014,1,322.32,11/9/2015,3500
Single Family,7/14/2014,1,1469.84,11/9/2015,5000
Duplex,11/11/2014,1,3378.03,11/9/2015,4100
Duplex,6/8/2015,1,1275.98,11/9/2015,17000
Single Family,1/5/2015,1,888.37,11/9/2015,5000
Single Family,7/13/2015,1,872.44,11/10/2015,6399.07
Duplex,6/8/2015,1,845.6,11/11/2015,34500
Single Family,1/5/2015,1,1105.12,11/12/2015,11250
Duplex,12/2/2013,1,935.56,11/13/2015,1
Duplex,6/8/2015,1,2813.77,11/13/2015,20000
Duplex,6/2/2014,1,5725.09,11/13/2015,2500
Duplex,6/8/2015,1,644.45,11/13/2015,3790
Single Family,7/14/2014,1,1.00E+13,11/16/2015,2625
Single Family,7/13/2015,1,992.41,11/16/2015,1000
Single Family,7/13/2015,1,828.44,11/16/2015,1000
Single Family,6/8/2015,1,514.26,11/17/2015,3100
Duplex,8/16/2013,1,1540.73,11/18/2015,2500
Single Family,10/14/2013,1,771.72,11/18/2015,2500
Duplex,9/14/2015,1,290.75,11/19/2015,11857.06
Duplex,1/5/2015,1,2494.04,11/19/2015,3000
Duplex,6/8/2015,1,1757.5,11/19/2015,3000
Com/Res,11/14/2011,1,2711.77,11/19/2015,7000
Duplex,7/28/2008,1,678.06,11/20/2015,6000
Single Family,7/28/2008,1,1327.28,11/20/2015,6750
Store - Apts,7/9/2012,1,1007539.55,11/20/2015,54100
Single Family,12/17/2012,1,3301.46,11/23/2015,7000
Single Family,6/8/2015,1,818.4,11/23/2015,1000
Single Family,6/8/2015,1,813.93,11/24/2015,7875
Single Family,6/8/2015,1,1222.91,11/24/2015,1000
Single Family,6/8/2015,1,434.62,11/25/2015,43000
Duplex,9/15/2014,1,1233.57,11/25/2015,5000
Duplex,6/8/2015,1,1526.71,12/1/2015,10100
Duplex,6/8/2015,1,1928.04,12/1/2015,9525
Duplex,11/11/2014,1,1920.03,12/1/2015,2500
Duplex,10/14/2013,1,1963.65,12/1/2015,2500
Single Family,12/2/2013,1,1768.62,12/1/2015,18750
Single Family,12/17/2012,1,1847.58,12/1/2015,2500
Single Family,9/14/2015,1,31.74,12/2/2015,6974.77
Single Family,6/8/2015,1,3429.57,12/2/2015,3500
Single Family,7/13/2015,1,91.36,12/2/2015,1000
Single Family,7/13/2015,1,170.5,12/2/2015,1000
Single Family,9/14/2015,1,18.6,12/2/2015,1000
Single Family,7/13/2015,1,175.36,12/2/2015,1000
Single Family,6/8/2015,1,616.86,12/4/2015,3000
Duplex,10/14/2013,1,4062.65,12/8/2015,5200
Single Family,9/14/2015,1,44.5,12/8/2015,1000
Single Family,6/2/2014,1,1239.51,12/8/2015,3000
Single Family,6/8/2015,1,163.29,12/8/2015,1000
Single Family,1/5/2015,1,2546.39,12/8/2015,18750
Single Family,7/13/2015,1,600.13,12/8/2015,1000
Duplex,6/8/2015,1,415.02,12/9/2015,3675
Single Family,6/8/2015,1,726.24,12/9/2015,2500
Single Family,1/5/2015,1,5891.63,12/10/2015,8000
Single Family,11/11/2014,1,3079.2,12/10/2015,2500
Duplex,6/8/2015,1,557.5,12/11/2015,10000
Duplex,6/8/2015,1,3196.44,12/11/2015,15000
Single Family,6/8/2015,1,828.8,12/15/2015,5000
Duplex,11/11/2014,1,694.93,12/17/2015,27000
Duplex,7/13/2015,1,713.88,12/17/2015,2900
Single Family,7/13/2015,1,316.66,12/22/2015,3500
Duplex,1/5/2015,1,2274.39,12/30/2015,3000
Duplex,10/8/2012,1,3248.76,12/30/2015,1
Duplex,7/9/2012,1,1636.32,12/30/2015,1
Multi-Family,6/2/2014,1,762.98,12/30/2015,1
Duplex,7/13/2015,1,198.19,12/30/2015,1
Duplex,10/14/2013,1,257.926,12/30/2015,1
Duplex,12/2/2013,1,1098.64,12/30/2015,1
Duplex,8/16/2013,1,2557,12/30/2015,1
Multi-Family,6/2/2014,1,224.97,12/30/2015,1
Single Family,10/8/2012,1,2120.9,12/30/2015,1
Single Family,10/8/2012,1,1532.29,12/30/2015,1
Single Family,7/20/2009,1,2494.96,12/30/2015,1
Duplex,6/2/2014,1,499.48,12/30/2015,1
Single Family,10/14/2013,1,2636.28,12/30/2015,1
Single Family,3/1/2010,1,1174.12,12/30/2015,1
Duplex,6/8/2015,1,209.53,12/30/2015,1
Duplex,12/17/2012,1,1082.14,12/30/2015,1
Duplex,7/11/2016,1,157.64,12/28/2016,10013.79
