Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
2100191000,Single Family,2013-08-16,"$212,67",2014-03-10,"$6,400,00"
2100313000,Single Family,2011-09-16,"$5.492,44",2014-08-25,"$5,000,00"
2100376000,Single Family,2013-08-16,"$2.708,17",2014-01-31,"$12,000,00"
2100506000,Single Family,2013-10-14,"$140,95",2014-07-08,"$8,700,00"
2100702000,Single Family,2012-10-08,"$2.019,48",2014-04-25,"$5,000,00"
2101010000,Single Family,2013-08-16,"$137,89",2014-04-14,"$8,914,00"
2110365000,Duplex,2012-12-17,"$3.089,42",2014-03-12,"$26,000,00"
2120723000,Single Family,2013-12-02,"$393,87",2014-12-04,"$20,000,00"
2120853000,Single Family,2013-10-14,"$210,17",2014-07-22,"$1,00"
2130132000,Duplex,2012-07-09,"$3.465,22",2014-12-11,"$75,000,00"
2140901000,Multi-Family,2012-07-09,"$15.038,55",2014-12-11,"$75,000,00"
2140902100,Multi-Family,2012-07-09,"$28.166,48",2014-12-11,"$75,000,00"
2230601000,Multi-Family,2012-07-09,"$21.087,61",2014-12-11,"$75,000,00"
2251085000,Single Family,2013-10-14,"$1.411,96",2014-10-27,"$24,000,00"
2251225000,Single Family,2014-06-02,"$346,04",2014-11-19,"$1,00"
2260297000,Single Family,2013-10-14,"$1.178,83",2014-11-11,"$21,000,00"
2260929000,Duplex,2013-10-14,"$1.867,85",2014-09-05,"$12,000,00"
2270140100,Single Family,2013-12-02,"$1.207,63",2014-09-23,"$1,000,00"
2270153100,Duplex,2014-06-02,"$1.916,88",2014-12-18,"$1,000,00"
2270822000,Single Family,2013-12-02,"$168,226,00",2014-09-05,"$1,000,00"
2280064000,Single Family,2009-07-20,"$397,46",2014-06-06,"$5,000,00"
2280184000,Single Family,2013-08-16,"$232,68",2014-09-26,"$3,675,00"
2280193100,Single Family,2013-10-14,"$140,21",2014-09-11,"$5,250,00"
2281115000,Single Family,2012-07-09,"$2.042,68",2014-09-30,"$1,000,00"
2281401000,Single Family,2013-08-16,"$589,56",2014-06-27,"$12,000,00"
2281413000,Single Family,2010-07-26,"$265,38",2014-05-21,"$1,000,00"
2281425000,Single Family,2009-07-20,"$923,30",2014-08-08,"$1,000,00"
2281430000,Single Family,2013-10-14,"$139,06",2014-11-21,"$1,000,00"
2290036000,Single Family,2013-10-14,"$1.278,95",2014-09-12,"$5,000,00"
2290218000,Single Family,2012-07-09,"$1.246,36",2014-04-25,"$5,000,00"
2290459000,Single Family,2013-12-02,"$79,42",2014-08-13,"$1,000,00"
2290462000,Single Family,2013-10-14,"$114,354,00",2014-08-13,"$1,000,00"
2290517000,Duplex,2013-10-14,"$706,16",2014-11-21,"$11,100,00"
2290940000,Single Family,2011-09-16,"$25,416,00",2014-02-27,"$6,900,00"
2290993000,Single Family,2012-07-09,"$1.388,66",2014-06-06,"$5,000,00"
2291009000,Single Family,2010-07-26,"$4.530,39",2014-09-12,"$2,500,00"
2291229000,Single Family,2013-08-16,"$988,87",2014-06-20,"$6,000,00"
2300519000,Single Family,2012-07-09,"$545,50",2014-02-07,"$5,000,00"
2300643000,Single Family,2012-10-08,"$1.854,15",2014-02-24,"$7,000,00"
2310241000,Single Family,2011-06-29,"$2.736,73",2014-03-28,"$6,150,00"
2310285000,Single Family,2013-10-14,"$789,42",2014-11-14,"$7,000,00"
2310505000,Single Family,2012-01-30,"$2.034,67",2014-04-17,"$8,250,00"
2320255000,Multi-Family,2013-08-16,"$1.303,91",2014-09-12,"$21,000,00"
2320431000,Single Family,2013-10-14,"$2.188,87",2014-08-26,"$1,000,00"
2430761000,Single Family,2012-01-30,"$1.693,22",2014-10-31,"$8,000,00"
2430909000,Duplex,2014-06-02,"$683,41",2014-12-16,"$3,750,00"
2430914000,Single Family,2013-10-14,"$1.210,26",2014-06-09,"$1,008,00"
2440455000,Single Family,2013-08-16,"$202,78",2014-02-13,"$12,000,00"
2450506000,Single Family,2012-12-17,"$1.416,23",2014-04-25,"$5,013,00"
2450590000,Duplex,2013-08-16,"$841,37",2014-09-26,"$2,250,00"
2450811000,Single Family,2013-08-16,"$691,04",2014-01-22,"$3,900,00"
2451111000,Single Family,2013-08-16,"$398,38",2014-09-17,"$14,892,00"
2451407000,Single Family,2011-09-16,"$1.418,25",2014-02-20,"$4,500,00"
2452198000,Single Family,2013-08-16,"$798,85",2014-03-10,"$15,000,00"
